NORAD ID,Longitude,Compliant,Highest-Maturity Filing Type,Brought-into-Use,Due Diligence Match,Suspension Status
43539,111.65,No 🔴,n/a,n/a,n/a,n/a
40547,111.85,No 🔴,n/a,n/a,n/a,n/a
41241,111.86,No 🔴,n/a,n/a,n/a,n/a
36828,111.92,Yes 🟢,Notification of Space Station (N),Yes,n/a,n/a
29349,113.08,Yes 🟢,Due Diligence (U),Yes,Full,n/a
42984,113.17,No 🔴,n/a,n/a,n/a,n/a
31800,115.55,Yes 🟢,Due Diligence (U),Yes,Full,n/a
42691,115.91,Yes 🟢,Due Diligence (U),Yes,Full,n/a
37265,116.03,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
44709,116.12,Yes 🟢,Due Diligence (U),Yes,n/a,Partial
45920,116.2,Yes 🟢,Due Diligence (U),Yes,n/a,Partial
37256,117.4,No 🔴,n/a,n/a,n/a,n/a
46610,117.9,Yes 🟢,Due Diligence (U),Yes,Full,n/a
41944,118.03,Yes 🟢,Due Diligence (U),Yes,Partial,Resumed
43463,119.12,Yes 🟢,Due Diligence (U),Yes,n/a,n/a
52940,119.32,No 🟡,Coordination Request (C),No,n/a,n/a
28786,119.51,Yes 🟢,Due Diligence (U),Yes,Full,n/a
40141,119.92,Yes 🟢,Due Diligence (U),Yes,Full,n/a
37384,120.09,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
42942,122.18,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
20253,123.31,No 🔴,n/a,n/a,n/a,n/a
38331,124.04,Yes 🟢,Due Diligence (U),Yes,Full,n/a
52255,125.08,Yes 🟢,Due Diligence (U),Yes,Partial,n/a
